2,9,16,35,46,63
7,9,29,51,60,70
20,28,42,48,51,62
10,19,23,39,40,83
45,56,59,69,73,77
11,23,25,72,78,84
4,43,45,55,56,60
21,39,51,59,68,86
14,26,36,60,62,84
21,22,28,50,55,68
2,19,56,58,63,71
11,15,16,42,48,52
27,29,30,53,54,86
24,32,36,47,50,78
17,33,38,43,49,80
5,10,76,82,83,89
3,44,74,81,87,89
2,35,38,44,68,83
6,10,12,34,66,77
26,34,39,46,54,89
2,4,24,62,73,75
6,22,29,42,48,66
43,62,72,73,85,86
27,34,37,42,53,76
34,38,61,71,74,83
20,30,37,83,88,89
3,11,25,34,46,64
5,30,36,43,48,78
29,30,43,44,75,87
38,54,57,66,74,88
41,43,46,47,63,87
27,33,41,73,79,90
13,28,36,41,79,88
5,16,44,61,80,90
26,50,51,55,85,87
16,43,53,79,80,82
3,13,24,60,70,75
9,16,23,50,53,79
10,30,36,49,55,62
7,25,46,67,69,86
14,23,51,55,68,76
5,6,7,50,72,74
12,38,45,66,70,73
4,19,58,60,67,82
2,8,17,73,77,84
13,16,59,66,77,79
32,34,57,58,67,79
2,24,43,74,81,85
5,9,22,69,74,84
20,30,32,38,61,67
8,25,28,45,54,66
28,39,40,44,72,76
8,33,36,41,51,68
23,40,42,60,62,63
14,33,53,54,64,78
15,23,31,45,51,58
8,31,67,77,81,86
10,23,47,49,84,85
1,6,7,11,79,88
1,3,11,53,75,81
15,27,42,53,65,85
9,18,65,70,75,87
26,34,40,53,60,68
8,12,20,24,45,73
9,13,51,61,81,83
24,27,41,54,62,63
17,27,44,50,66,85
6,7,11,20,33,81
14,43,54,69,80,90
17,23,43,48,52,66
5,18,22,34,52,66
21,23,30,45,68,85
23,36,38,62,75,81
6,20,40,55,71,80
21,29,34,36,46,51
11,27,39,43,61,85
10,11,27,31,66,83
13,14,41,53,60,65
2,20,31,48,58,59
3,28,49,72,83,84
4,10,19,50,71,83
2,36,39,50,59,64
2,10,28,37,56,75
19,41,67,76,82,85
10,14,16,40,50,55
14,20,24,49,83,84
4,13,47,75,80,82
4,18,28,41,61,75
43,44,45,50,67,76
39,51,52,58,72,84
6,8,14,15,59,79
14,27,34,47,73,88
5,22,47,54,63,84
15,60,82,85,86,87
6,16,22,69,73,78
20,32,49,50,51,58
19,31,39,60,72,80
21,23,28,59,79,82
3,25,57,69,71,87
3,18,49,63,68,82
13,28,63,76,80,85
21,26,33,34,45,86
11,18,25,26,54,84
4,7,39,71,79,89
15,25,42,53,56,73
10,21,23,26,35,50
18,24,26,33,34,47
8,26,32,34,53,58
10,31,40,59,80,85
43,54,60,70,75,89
6,9,54,63,64,68
3,18,26,54,61,72
13,23,35,36,57,64
13,20,39,48,74,89
45,48,50,57,70,71
24,59,63,64,82,90
2,21,23,56,69,87
1,14,21,35,64,85
13,14,25,34,59,84
11,13,22,34,54,77
33,39,78,79,83,84
34,42,69,76,81,85
6,37,69,73,79,88
4,11,85,86,87,88
3,16,17,54,61,90
23,40,60,79,80,87
13,14,49,55,71,77
41,43,55,65,80,85
1,6,13,20,73,85
6,22,43,60,66,73
4,7,15,24,36,78
17,23,45,57,64,89
17,18,24,34,57,82
5,7,59,70,72,73
17,28,63,72,75,81
12,23,36,42,50,71
5,23,46,52,60,80
7,34,47,52,74,86
1,20,27,41,60,77
6,38,55,71,80,85
4,5,29,32,69,89
2,26,37,38,69,85
1,16,64,70,72,82
9,11,27,53,63,78
29,35,65,67,70,80
2,12,16,18,59,61
1,31,55,65,76,88
17,28,62,64,74,84
3,13,44,45,56,61
14,22,42,44,47,79
8,33,35,39,78,83
2,25,27,50,88,90
2,13,14,41,52,79
4,14,42,46,53,60
4,8,28,33,34,57
57,60,68,70,80,83
26,27,40,51,67,86
5,43,57,58,72,87
13,41,47,58,81,84
6,21,25,59,63,68
6,48,64,80,87,89
31,34,49,66,75,88
11,13,16,22,42,51
1,23,44,45,47,60
2,23,24,42,46,88
19,39,41,42,45,88
14,67,73,86,89,90
13,23,37,43,64,79
7,21,23,28,29,31
5,11,39,41,62,80
14,31,40,42,52,65
